open,high,low,close,volume,datetime,symbol,SMA_10,SMA_20,SMA_50,%Year,%6Month,%3Month,%1Month,$Volume,adr_percent,atr,str_dev,lower_band,upper_band,lower_channel,upper_channel,sector,industry,%Year_rank,%6Month_rank,%3Month_rank,%1Month_rank,composite_score,sector_rank
143.72,144.6,139.535,144.37,205752.0,2026-05-22,DCO,145.204,142.9415,136.3164,107.88,66.34,14.76,3.56,29216784.0,4.22,5.871125,3.952684996835764,135.03613000632845,150.84686999367153,134.13481249999998,151.7481875,Industrials,Military/Government/Technical,6.0,9.0,11.0,15.0,10.25,186.0
10.76,13.1,9.9,12.96,242357.0,2026-05-22,DAO,12.133,11.855,10.8288,44.32,44.64,26.32,18.36,2908284.0,10.8,1.180275,0.5451750081154301,10.76464998376914,12.94535001623086,10.0845875,13.6254125,Real Estate,Other Consumer Services,5.0,6.0,5.0,5.0,5.25,9.0
21.04,21.63,21.02,21.5,661179.0,2026-05-22,CXW,20.935,20.7135,20.2744,-1.78,28.67,30.54,4.83,13884759.0,4.14,0.836,0.6294464987087068,19.454607002582588,21.97239299741741,19.4595,21.9675,Real Estate,Real Estate Investment Trusts,97.0,22.0,6.0,44.0,42.25,72.0
442.86,442.86,431.13,434.12,545513.0,2026-05-22,CRS,424.291,428.401,416.477,83.82,42.15,10.61,1.55,238389181.0,4.64,19.32528,13.988335704778224,400.4243285904436,456.37767140955646,399.41308,457.38892,Industrials,Steel/Iron Ore,7.0,8.0,7.0,14.0,9.0,169.0
11.7,11.94,11.2901,11.46,640422.0,2026-05-22,CODI,11.854,11.852,10.0174,73.37,115.01,41.48,-0.26,7685064.0,5.57,0.6268849999999999,0.2544881343527482,11.343023731294505,12.360976268705496,10.9116725,12.7923275,Consumer Discretionary,Home Furnishings,1.0,1.0,2.0,4.0,2.0,34.0
60.36,65.37,59.95,65.05,2037675.0,2026-05-22,CENX,60.398,60.2525,59.5047,303.29,148.38,21.57,7.1,128373525.0,6.02,3.495115,2.434702780952517,55.383094438094965,65.12190556190504,55.0098275,65.4951725,Industrials,Aluminum,1.0,1.0,1.0,2.0,1.25,7.0
21.5,22.03,21.11,21.63,522103.0,2026-05-22,CDNA,20.951,21.0975,19.49,23.18,37.25,12.36,1.88,11486266.0,6.48,1.30015,0.5290495449885707,20.03940091002286,22.15559908997714,19.147275,23.047725,Health Care,Medical Specialities,14.0,6.0,16.0,17.0,13.25,121.0
9.69,9.76,9.185,9.28,735114.0,2026-05-22,BVS,10.223,10.2475,9.7314,42.11,42.11,6.42,-8.03,6616026.0,6.22,0.61524,0.4916848048988892,9.264130390202222,11.23086960979778,9.32464,11.17036,Health Care,Medical/Dental Instruments,8.0,6.0,16.0,35.0,16.25,136.0
78.68,81.02,78.08,80.96,645395.0,2026-05-22,BC,77.881,78.6645,76.8032,61.02,36.43,-3.35,2.0,51631600.0,4.13,3.14731,2.1026361273907423,74.45922774521851,82.8697722547815,73.943535,83.38546500000001,Industrials,Industrial Machinery/Components,50.0,49.0,71.0,60.0,57.5,371.0
15.595,15.595,15.06,15.22,994131.0,2026-05-22,AUPH,15.631,15.6255,15.43,90.73,0.53,4.32,-4.76,14911965.0,4.02,0.608605,0.3381096832313797,14.949280633537242,16.30171936646276,14.7125925,16.5384075,Health Care,Biotechnology: Pharmaceutical Preparations,97.0,138.0,94.0,140.0,117.25,397.0
485.0,494.44,475.79,481.68,3830317.0,2026-05-22,APP,483.54,475.0995,448.8366,23.43,-7.52,22.5,7.45,1857703745.0,6.1,27.85607,17.03616755611332,441.0271648877733,509.1718351122266,433.315395,516.883605,Technology,Computer Software: Programming Data Processing,15.0,29.0,11.0,17.0,18.0,119.0
9.06,9.39,9.06,9.24,412163.0,2026-05-22,AMCX,8.578,8.505,7.8966,41.72,14.93,25.89,9.09,3709467.0,5.34,0.43676,0.3082121620606384,7.888575675878724,9.121424324121278,7.84986,9.16014,Telecommunications,Cable & Other Pay Television Services,4.0,3.0,2.0,2.0,2.75,3.0
68.05,69.8776,64.0,65.22,5549360.0,2026-05-22,AFRM,65.876,65.7255,57.4192,28.69,4.29,36.24,2.35,371807120.0,5.79,3.675445,1.50155875150048,62.72238249699904,68.72861750300096,60.2123325,71.23866749999999,Finance,Finance: Consumer Services,22.0,29.0,21.0,29.0,25.25,256.0
92.65,97.145,90.14,95.02,1864741.0,2026-05-22,AEHR,93.0475,92.2462,72.2324,844.53,389.79,142.21,-0.93,175285654.0,12.5,10.707985,7.7805342251639615,76.68513154967208,107.80726845032792,76.1842225,108.3081775,Industrials,Electrical Products,1.0,1.0,1.0,17.0,5.0,83.0
8.97,9.09,8.9,9.04,441429.0,2026-05-22,ABX,9.091,9.213,8.9708,15.01,60.85,3.55,-1.85,3972861.0,4.73,0.4199,0.2041954687883142,8.80460906242337,9.621390937576628,8.58315,9.84285,Finance,Investment Managers,23.0,5.0,21.0,51.0,25.0,254.0
3.22,3.35,3.15,3.23,5328831.0,2026-05-22,ABAT,3.186,3.2162,3.0968,137.5,-7.98,-11.75,-1.52,15986493.0,8.31,0.255625,0.1649631138993652,2.8862737722012697,3.5461262277987307,2.8327625000000003,3.5996375,Basic Materials,Metal Mining,11.0,28.0,17.0,18.0,18.5,51.0
